,id,Text,.net,android,asp.net,c,c#,c++,css,html,ios,iphone,java,javascript,jquery,mysql,objective-c,php,python,ruby,ruby-on-rails,sql
0,2,aspnet site maps has anyone got experience creating sqlbased aspnet sitemap providersi have got the default xml file websitemap working properly with my menu and sitemappath controls but i will need a way for the users of my site to create and modify pages dynamicallyi need to tie page viewing permissions into the standard aspnet membership system as well,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,4,adding scripting functionality to net applications i have a little game written in c it uses a database as backend it is a trading card game and i wanted to implement the function of the cards as a scriptwhat i mean is that i essentially have an interface icard which a card class implements public class card056 icard and which contains function that are called by the gamenow to make the thing maintainablemoddable i would like to have the class for each card as source code in the database and essentially compile it on first use so when i have to addchange a card i will just add it to the database and tell my application to refresh without needing any assembly deployment especially since we would be talking about 1 assembly per card which means hundreds of assembliesis that possible register a class from a source file and then instantiate it etcicard cardscurrent new mygamecardlibrarycard056cardscurrentonenterplayref currentgamestatethe language is c but extra bonus if it is possible to write the script in any net language,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5,should i use nested classes in this case i am working on a collection of classes used for video playback and recording i have one main class which acts like the public interface with methods like play stop pause record etc then i have workhorse classes which do the video decoding and video encoding i just learned about the existence of nested classes in c and i am curious to know what programmers think about using them i am a little wary and not really sure what the benefitsdrawbacks are but they seem according to the book i am reading to be used in cases such as minethe book suggests that in a scenario like mine a good solution would be to nest the workhorse classes inside the interface class so there are no separate files for classes the client is not meant to use and to avoid any possible naming conflicts i do not know about these justifications nested classes are a new concept to me just want to see what programmers think about the issue,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6,homegrown consumption of web services i have been writing a few web services for a net app now i am ready to consume them i have seen numerous examples where there is homegrown code for consuming the service as opposed to using the auto generated methods visual studio creates when adding the web reference is there some advantage to this,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,8,automatically update version number i would like the version property of my application to be incremented for each build but i am not sure on how to enable this functionality in visual studio 20052008 i have tried to specify the assemblyversion as 10 but it does not get me exactly what i want i am also using a settings file and in earlier attempts when the assembly version changed my settings got reset to the default since the application looked for the settings file in another directory i would like to be able to thisplay a version number in the form of 1138 so when a user finds a problem i can log the version they are using as well as tell them to upgrade if they have an old releasea short explanation of how the versioning works would also be appreciated when does the build and revision number get incremented,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,10,how do i connect to a database and loop over a recordset in c whats the simplest way to connect and query a database for a set of records in c,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,12,how do i delete a file which is locked by another process in c i am looking for a way to delete a file which is locked by another process using c i suspect the method must be able to find which process is locking the file perhaps by tracking the handles although i am not sure how to do this in c then close that process before being able to complete the file delete using filedelete,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,20,net unit testing packages getting back into a bit more net after a fewyears of not using it fulltime and wondering what the good unit testing packages are these daysi am familiar with nunit a few years ago and have played briefly around with ironruby with the goal of getting something like rspec going but do not know much beyond thati realize i could google for this and call it a day but i believe i am likely to get a better and more informed response from asking a question here suggestions,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,22,what language do you use for postgresql triggers and stored procedures postgresql is interesting in that it supports several languages for writing stored procedures which one do you use and why,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,24,datatable vs dataset i currently use a datatable to get results from a database which i can use in my codehowever many example on the web show using a dataset instead and accessing the tables through the collections methodis there any advantage performance wise or otherwise of using datasets or datatables as a storage method for sql results,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,26,how do you thisable browser autocomplete on web form field input tag how do you thisable autocomplete in the major browsers for a specific input or form field,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,27,good stllike library for c what are good libraries for c with datastructures like vectors deques stacks hashmaps treemaps sets etc plain c please and platformindependent,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,28,what are effective options for embedding video in an aspnet web site a quick glance at the presentday internet would seem to indicate that adobe flash is the obvious choice for embedding video in a web page is this accurate or are they other effective choices does the choice of aspnet as a platform influence this decision,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,32,converting arbg to rgb with alpha blending let us say that we have an argb colorcolor argb colorfromargb127 69 12 255 light urplewhen this is painted on top of an existing color the colors will blend so when it is blended with white the resulting color is colorfromargb255 162 133 255the solution should work like thiscolor blend colorwhite color argb colorfromargb127 69 12 255 light urple color rgb torgbargb blend same as colorfromargb255 162 133 255what is torgbs implementation,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,33,paging sql server 2005 results how do i page results in sql server 2005i tried it in sql server 20 but there was no reliable way to do this i am now wondering if sql server 2005 has any built in methodwhat i mean by paging is for example if i list users by their username i want to be able to only return the first 10 records then the next 10 records and so onany help would be much appreciated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18,34,mysqlapache error in php mysql query i am getting the following erroraccess denied for user apachelocalhost using password nowhen using the following codephpincludeincludesconnectphpquery select from storyresult mysql queryquery or diemysql errorecho h1delete storyh1if mysql num rowsresult 0 whilerow mysql fetch rowresult echo brow1bspan alignrighta hrefprocessdelete storyphpidrow0deleteaspan echo br irow2i else echo no stories availablethe connectphp file contains my mysql connect calls that are working fine with my insert queries in another portion of the software if i comment out the result mysql query line then it goes through to the else statement so it is that line or the content in the ifi have been searching the net for any solutions and most seem to be related to too many mysql connections or that the user i am logging into mysql as does not have permission i have checked both i can still perform my other queries elsewhere in the software and i have verified that the account has the correct permissions,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
19,36,how to set up unit testing for visual studio c i am having trouble figuring out how to get the testing framework set up and usable in visual studio 2008 for c presumably with the builtin unit testing suiteany links or tutorials would be appreciated,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,38,how do you pack a visual studio c project for release i am wondering how to make a release build that includes all necessary dll files into the exe so the program can be run on a nondevelopment machine without it having to install the microsoft rethistributable on the target machinewithout doing this you get the error message that the application configuration is not correct and to reinstall,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,43,how do i run rake tasks within a ruby script i have a rakefile with a rake task that i would normally call from the command linerake blogpost titlei would like to write a ruby script that calls that rake task multiple times but the only solution i see is shelling out using backticks or systemwhats the right way to do this,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
23,46,what program can i use to generate diagrams of sql viewtable structure i have been tasked with redesigning part of a mssql database structure which currently involves a lot of views some of which contain joins to other views anyway i wonder if anyone here could recommend a utility to automatically generate diagrams to help me visualise the whole structurewhats the best program youve used for such problems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24,48,the difference between a datagrid and a gridview in aspnet i have been doing aspnet development for a little while now and i have used both the gridview and the datagrid controls before for various things but i never could find a really good reason to use one or the other i would like to knowwhat is the difference between these 2 aspnet controls what are the advantages or thisadvantages of both is one any faster newer easier to maintainthe intellisense summary for the controls does not seem to describe any difference between the two they both can view edit and sort data and automatically generate columns at runtimeedit visual studio 2008 no longer lists datagrid as an available control in the toolbox it is still available for legacy support i assume if you type it in by hand though,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,50,how to easily consume a web service from php is there available any tool for php which can be used to generate code for consuming a web service based on its wsdl something comparable to clicking add web reference in visual studio or the eclipse plugin which does the same thing for java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
26,51,how can i create prototype methods like javascript in cnet how is it possible to make prototype methods in cnetin javascript i can do the following to create a trim method for the string objectstringprototypetrim function return thisreplacessghow can i go about doing this in cnet,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,54,c and arrow keys i am new to c and am doing some work in an existing application i have a directx viewport that has components in it that i want to be able to position using arrow keyscurrently i am overriding processcmdkey and catching arrow input and send an onkeypress event this works but i want to be able to use modifiersaltctrlshift as soon as i am holding a modifier and press an arrow no events are triggered that i am listening todoes anyone have any ideas or suggestions on where i should go with this,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,57,is a confirm email input good practice when user changes email address my organization has a form to allow users to update their email address with usit is suggested that we have two input boxes for email the second as an email confirmationi always copypaste my email address when faced with the confirmationi am assuming most of our users are not so savvyregardless is this considered a good practicei cannot stand it personally but i also realize it probably is not meant for meif someone screws up their email they cannot login and they must call to sort things out,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
